ffffa388;81f928;86c9f8;8c4ce8;920368;97e8c8;9e01b8;a444d8;aaef18;b1bed8;b8de48;c02338;c7b7d8;cf8968;d789d8;dbdc18;dc1908
ffffa388;16cd308;15c4588;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;76ee98;750718
ffffbaf8;825238;8727b8;8caaa8;926128;984b38;9e6428;a4b558;ab5ae8;b23d68;b95cd8;c09868;c831b8;cff9e8;d811c8;d9e688;dba888;dc1908
ffffbaf8;16cd308;15c4588;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;7c7188;6e3c08;6aa098
ffffd268;829888;876e08;8cf5a8;92ac28;989ae8;9eb888;a50e68;abc208;b29b28;b9ba98;c108e8;c898d8;d06f18;d81678;d83bf8;da7328;dc1908
ffffd268;16cd308;15c4588;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;818d58;808b88;6e3c08;608068
ffffe9d8;82a1e8;87b458;8d40a8;92f728;98e5e8;9f0388;a55e18;ac0858;b2f8e8;ba0ef8;c17968;c8fb48;d0d188;d65478;d70698;d94278;db74f8;dc1908
ffffe9d8;16cdc68;15c4588;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;8646b8;808b88;6e3c08;5bec88;5693c8
148;810ec8;83f368;89ae98;8fa6b8;95d268;9c2848;a2bb18;a9b058;b0ddd8;b851a8;bff908;c7dd58;d07d28;d4a9e8;d5da98;d81678;da48f8;dc1908
148;165aee8;15c4588;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;8a3688;808b88;6e3c08;5bec88;4cc348
18b8;810ec8;85eda8;8bc048;91c678;97ed78;9e4cb8;a50058;abec38;b33128;bb2388;c35788;cba7a8;d44778;d4dd78;d6ef28;d921a8;db4f78;dc1908
18b8;159d168;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;7f30a8;6e3c08;5bec88;499d08;431848
3028;810ec8;811378;86eac8;8cf5a8;932ab8;998098;a075d8;a81888;afb688;b76bf8;bf7118;c78da8;cff538;d4d418;d5cc88;d803b8;da3188;dc1908
3028;14a0418;149f608;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;762508;6e3c08;5bec88;499d08;398008
4798;810ec8;8196b8;8772b8;8e0ee8;94e358;9beb58;a347b8;aae108;b2b748;bac118;c2f9c8;cb6608;d41d48;d4d8c8;d6ea78;d91848;db4168;dc1908
4798;1396888;137a688;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;6e3c08;6cb6f8;5bec88;499d08;374d88;3040d8
5f08;811378;83cde8;8a52a8;90f838;97c348;9ee768;a643c8;addd18;b5a9f8;bda5b8;c5de68;ce4148;d57378;d5d138;d803b8;da3638;dc1908
5f08;12d44b8;1255708;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;6e3c08;5ef1f8;5bec88;499d08;374d88;270fb8
7678;811378;86ef78;8d4eb8;93e188;9ad6c8;a1ff98;a960a8;b0e288;b8b8c8;c0c748;c8ed38;d15e28;d5df48;d6ef28;d91cf8;db4618;dc1908
7678;1245e98;1130788;100b808;ee6888;dc1908;c9c988;b77a08;a52a88;92db08;808b88;6e3c08;5bec88;5258f8;499d08;374d88;24f958;1df608
